pre_int,pre_uv,pre_percomp,time_spent,course_ID,final_grade,subject,enrollment_reason,semester,enrollment_status,cogproc,social,posemo,negemo,n,section,post_int,post_uv,post_percomp,WC
4.6,4.333333333333333,4,1637.9504,FrScA-S116-01,94.29223744,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,15.51969696969697,4.236969696969697,4.501212121212121,1.0645454545454545,33,01,4.5,4.333333333333333,4,70.48484848484848
3.6,4,3,615.2168,BioA-S116-01,77.65698925,BioA,Learning Preference of the Student,S116,Approved/Enrolled,14.8465,9.277,7.0445,1.729,20,01,4.25,4.333333333333333,3.5,38.65
5,4,5,2497.1666,FrScA-S116-02,70.62100457,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,14.421612903225807,5.098387096774194,5.977741935483871,1.2654838709677418,31,02,5,4,5,65.54838709677419
3.2,2,2.5,1403.6834,OcnA-S216-01,73.77386935,OcnA,Learning Preference of the Student,S216,Approved/Enrolled,17.269473684210528,8.01578947368421,5.409473684210527,1.5926315789473684,19,01,NA,NA,NA,61.63157894736842
4,4.333333333333333,4,793.95,PhysA-S116-01,94.44444444,PhysA,Course Unavailable at Local School,S116,Approved/Enrolled,18.845555555555556,5.022777777777778,4.77,0.8427777777777777,18,01,4,4.333333333333333,4,75.22222222222223
4.2,4.333333333333333,4,898.2998,PhysA-S116-01,93.77777778,PhysA,Course Unavailable at Local School,S116,Approved/Enrolled,18.168333333333333,5.725,5.591111111111111,0.16333333333333333,18,01,4.5,4.666666666666667,4,51.333333333333336
4,4,4,674.3167,PhysA-S116-01,96.34027778,PhysA,Course Unavailable at Local School,S116,Approved/Enrolled,18.355333333333334,7.766666666666667,5.257333333333333,0.18733333333333332,15,01,4,3.6666666666666665,3.5,46.266666666666666
5,3.3333333333333335,3,3424.5662,FrScA-T116-01,83.23287671,FrScA,Course Unavailable at Local School,T116,Approved/Enrolled,16.53911111111111,6.738888888888889,6.410444444444444,1.1277777777777778,45,01,NA,NA,NA,68.91111111111111
4.8,3.6666666666666665,3.5,1918.6166,FrScA-S216-01,93.22799097,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,15.92175,6.9245,4.80375,0.74525,40,01,NA,NA,NA,79
4,4,3.5,2164.9001,AnPhA-S116-02,81.4872,AnPhA,Learning Preference of the Student,S116,Approved/Enrolled,11.512272727272727,6.527727272727272,4.745909090909091,0.7218181818181818,22,02,NA,NA,NA,72.22727272727273
4,3.6666666666666665,3.5,0.45,AnPhA-T116-01,NA,AnPhA,Scheduling Conflict,T116,Dropped,NA,NA,NA,NA,NA,01,NA,NA,NA,NA
4.4,3.3333333333333335,3.5,1137.8334,FrScA-S216-01,98.64559819,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,14.699772727272727,6.218409090909091,6.067954545454546,0.6815909090909091,44,01,NA,NA,NA,105.63636363636364
5,5,5,2309.0334,AnPhA-S116-01,93.7536,AnPhA,Course Unavailable at Local School,S116,Approved/Enrolled,7.0633333333333335,6.724666666666667,2.272666666666667,0.9393333333333334,15,01,NA,NA,NA,60.93333333333333
4,3,3,965.2994,OcnA-S116-01,99.32998325,OcnA,Course Unavailable at Local School,S116,Approved/Enrolled,16.0252,6.8324,3.3224,0.7492,25,01,4,3.6666666666666665,3.5,123.72
4,4,NA,5298.8507,AnPhA-S116-01,91.2016,AnPhA,Course Unavailable at Local School,S116,Approved/Enrolled,11.103333333333333,6.960666666666667,4.966,1.3013333333333332,15,01,NA,NA,NA,53.2
4.2,4,2.5,2297.2332,AnPhA-S216-01,46.072,AnPhA,Course Unavailable at Local School,S216,Approved/Enrolled,9.406,8.946,5.047,1.01,10,01,NA,NA,NA,111.1
