Bb_UserPK,CourseSectionOrigID,TimeSpent
88612,AnPhA-S216-01,2258.9165
90305,AnPhA-S116-01,2363.6832
84757,AnPhA-T116-01,128.6165
87865,AnPhA-T116-01,1304.1168
52326,AnPhA-S216-01,1321.8164
69743,AnPhA-S216-01,7084.7003
76673,AnPhA-S216-01,4945.2164
76674,AnPhA-S216-01,2368.4997
76840,AnPhA-S216-01,3968.1668
76998,AnPhA-S216-01,1270.0997
86268,AnPhA-S216-01,1272.3172
86942,AnPhA-S216-01,3101.5166
88440,AnPhA-S216-01,2544.4002
91326,AnPhA-S216-01,657.1668
94246,AnPhA-S216-01,1351.9003
94805,AnPhA-S216-01,4438.7165
95545,AnPhA-S216-01,4284.4003
95601,AnPhA-S216-01,2915.5167
95915,AnPhA-S216-01,2670.7669
95957,AnPhA-S216-01,3542.5501
96690,AnPhA-S216-01,1969.5003
96720,AnPhA-S216-01,68.1167
57188,AnPhA-S116-02,5305.4334
79220,AnPhA-S116-02,3781.6498
86314,AnPhA-S116-02,3030.1667
90394,AnPhA-S116-02,1886.5329
90395,AnPhA-S116-02,2300.6664
90396,AnPhA-S116-02,3544.8161
90397,AnPhA-S116-02,2394.3497
90971,AnPhA-S116-02,3785.2838
91175,AnPhA-S116-02,1315.25
91574,AnPhA-S116-02,2999.75
91709,AnPhA-S116-02,4315.8839
91932,AnPhA-S116-02,1182.9667
74552,AnPhA-S216-02,6123.8832
94550,AnPhA-S216-02,2856.6166
94903,AnPhA-S216-02,2288.5835
95017,AnPhA-S216-02,2773.6164
95160,AnPhA-S216-02,4154.4333
95377,AnPhA-S216-02,1089.9667
95919,AnPhA-S216-02,1937.4333
96826,AnPhA-S216-02,1073.95
53447,FrScA-S116-01,1479.4166
61941,FrScA-S116-01,1637.9504
68188,FrScA-S116-01,583.2498
76840,FrScA-S116-01,2634.6832
85431,FrScA-S116-01,1448.9339
85432,FrScA-S116-01,874.0172
85443,FrScA-S116-01,1564.633
85649,FrScA-S116-01,1464.4668
85651,FrScA-S116-01,565.7832
85665,FrScA-S116-01,4046.6159
85668,FrScA-S116-01,379.1335
85791,FrScA-S116-01,1461.8332
85929,FrScA-S116-01,1297.9167
85930,FrScA-S116-01,1647.2669
86271,FrScA-S116-01,282.7834
86339,FrScA-S116-01,598.783
86340,FrScA-S116-01,1077.3504
86365,FrScA-S116-01,1027.7002
86455,FrScA-S116-01,1616.3337
86543,FrScA-S116-01,1425.9832
86709,FrScA-S116-01,1600.3334
86792,FrScA-S116-01,879.1998
86793,FrScA-S116-01,553.3835
86803,FrScA-S116-01,3344.1504
86815,FrScA-S116-01,1666.7332
87027,FrScA-S116-01,1605.0336
87093,FrScA-S116-01,486.65
87163,FrScA-S116-01,1365.8501
87484,FrScA-S116-01,3341.9499
87485,FrScA-S116-01,1451.8836
87489,FrScA-S116-01,1075.0999
87805,FrScA-S116-01,1388.1167
87906,FrScA-S116-01,1095.6001
87914,FrScA-S116-01,1156.1668
87927,FrScA-S116-01,3934.8498
88261,FrScA-S116-01,1269.6667
88493,FrScA-S116-01,56.3166
88527,FrScA-S116-01,1551.6665
89128,FrScA-S116-01,362.8837
90433,FrScA-S116-01,2689.2001
91471,FrScA-S116-01,946.7998
72287,FrScA-T116-01,3946.5666
91313,AnPhA-S216-01,3134.9666
94691,AnPhA-S216-01,258.35
94846,AnPhA-S216-01,764.1668
94872,AnPhA-S216-01,3547.0667
95014,AnPhA-S216-01,2999.9832
95114,AnPhA-S216-01,546.85
95283,AnPhA-S216-01,2689.4502
95594,AnPhA-S216-01,1419.8
95618,AnPhA-S216-01,3789.3996
95620,AnPhA-S216-01,4013.3999
95634,AnPhA-S216-01,4466.367
96228,AnPhA-S216-01,1747.1669
96640,AnPhA-S216-01,769.2331
96677,AnPhA-S216-01,11.0333
96680,AnPhA-S216-01,1776.5166
96853,AnPhA-S216-01,2521.2334
96854,AnPhA-S216-01,2563.3833
96959,AnPhA-S216-01,1727.2666
96994,AnPhA-S216-01,2676.7501
56152,AnPhA-S116-02,4438.8165
65627,AnPhA-S116-02,2164.9001
70192,AnPhA-S116-02,1537.1834
76930,AnPhA-S116-02,2804.9832
86707,AnPhA-S116-02,2143.133
90398,AnPhA-S116-02,4264.25
90399,AnPhA-S116-02,768.4833
90956,AnPhA-S116-02,1550.4668
90995,AnPhA-S116-02,202.2832
91065,AnPhA-S116-02,1334.7001
91319,AnPhA-S116-02,686.2998
91320,AnPhA-S116-02,584.9166
91619,AnPhA-S116-02,1272.2331
91634,AnPhA-S116-02,1857.8168
91672,AnPhA-S116-02,2763.0331
91771,AnPhA-S116-02,540.5001
92185,AnPhA-S116-02,6162.1998
88979,AnPhA-S216-02,364.5001
91164,AnPhA-S216-02,4359.0996
94219,AnPhA-S216-02,151.75
94542,AnPhA-S216-02,1558.5331
94545,AnPhA-S216-02,855.3833
94898,AnPhA-S216-02,1904.1662
95041,AnPhA-S216-02,322.9502
95264,AnPhA-S216-02,237.3
96871,AnPhA-S216-02,244.3835
55283,FrScA-S116-01,3.9167
69072,FrScA-S116-01,956.1665
70037,FrScA-S116-01,2591.1496
77246,FrScA-S116-01,782.5002
85323,FrScA-S116-01,1449.7001
85416,FrScA-S116-01,846.5665
85433,FrScA-S116-01,2575.4667
85539,FrScA-S116-01,2948.6174
85579,FrScA-S116-01,2822.5166
85650,FrScA-S116-01,2689.1334
85662,FrScA-S116-01,107.8999
85663,FrScA-S116-01,191.3834
85792,FrScA-S116-01,1687.3165
86105,FrScA-S116-01,4075.5504
86280,FrScA-S116-01,2167.9669
86364,FrScA-S116-01,3429.2834
86476,FrScA-S116-01,1673.8004
86679,FrScA-S116-01,2267.4
86794,FrScA-S116-01,1274.8167
87010,FrScA-S116-01,1920.8168
87504,FrScA-S116-01,1330.8502
87579,FrScA-S116-01,1451.9169
87905,FrScA-S116-01,2166.8999
88501,FrScA-S116-01,3315.3331
90095,FrScA-S116-01,1476.0832
91173,FrScA-S116-01,756.0998
92143,FrScA-S116-01,1792.1003
92214,FrScA-S116-01,1101.833
64930,FrScA-T116-01,3424.5662
87866,FrScA-T116-01,1988.8836
69182,FrScA-S216-01,444.4832
69397,FrScA-S216-01,1087.6003
71110,FrScA-S216-01,2006.4003
71415,FrScA-S216-01,408.4
77190,FrScA-S216-01,763.1498
78000,FrScA-S216-01,1366.5835
85123,FrScA-S216-01,1341.7002
85258,FrScA-S216-01,2285.7836
87693,FrScA-T116-01,2479.8167
47448,FrScA-S216-01,860.4335
53475,FrScA-S216-01,1867.4169
55078,FrScA-S216-01,2130.7497
57188,FrScA-S216-01,2193.0833
65116,FrScA-S216-01,1918.6166
66689,FrScA-S216-01,1137.8334
67463,FrScA-S216-01,1359.033
68795,FrScA-S216-01,3022.5333
85583,FrScA-S216-01,3382.9006
85642,FrScA-S216-01,1627.3499
85644,FrScA-S216-01,890.4333
85659,FrScA-S216-01,816.7002
86349,FrScA-S216-01,847.9663
86490,FrScA-S216-01,1101.2833
86515,FrScA-S216-01,846.0835
87020,FrScA-S216-01,1788.9003
87861,FrScA-S216-01,3303.3832
88596,FrScA-S216-01,1395.8998
88854,FrScA-S216-01,885.9167
89333,FrScA-S216-01,945.417
89345,FrScA-S216-01,48.4333
90029,FrScA-S216-01,766.5663
90277,FrScA-S216-01,1097.8003
90394,FrScA-S216-01,871.2833
90622,FrScA-S216-01,1077.1836
90989,FrScA-S216-01,1821.6838
91212,FrScA-S216-01,906.8832
94070,FrScA-S216-01,2469.4006
94135,FrScA-S216-01,706.2332
94257,FrScA-S216-01,1175.833
94292,FrScA-S216-01,3135.3167
94332,FrScA-S216-01,1272.7337
94356,FrScA-S216-01,160.4166
94370,FrScA-S216-01,940.3001
94376,FrScA-S216-01,1434.3999
94402,FrScA-S216-01,177.7168
94404,FrScA-S216-01,1665.1169
94756,FrScA-S216-01,1122.5334
94824,FrScA-S216-01,2414.5498
95045,FrScA-S216-01,2977.4502
95165,FrScA-S216-01,1113.2168
95360,FrScA-S216-01,1613.3166
95449,FrScA-S216-01,1232.8665
95485,FrScA-S216-01,193.0498
95621,FrScA-S216-01,1903.0337
95632,FrScA-S216-01,948.1999
95684,FrScA-S216-01,88.5167
95743,FrScA-S216-01,3122.9167
95896,FrScA-S216-01,1133.2169
95991,FrScA-S216-01,870.3836
67762,FrScA-S116-02,801.2336
68768,FrScA-S116-02,1966.0169
77298,FrScA-S116-02,1907.6502
85661,FrScA-S116-02,1375.4834
91340,FrScA-S116-02,1182.9332
57224,FrScA-S116-03,2356.4668
70068,FrScA-S116-03,2101.933
73132,FrScA-S116-03,1746.5501
78691,FrScA-S116-03,1559.9667
85701,FrScA-S116-03,2381.6998
85702,FrScA-S116-03,638.7338
85704,FrScA-S116-03,1376.483
85891,FrScA-S116-03,1784.2506
86309,FrScA-S116-03,1219.4837
88409,FrScA-S116-03,2313.5495
88636,FrScA-S116-03,1284.8333
88835,FrScA-S116-03,2062.95
88836,FrScA-S116-03,152.7499
88868,FrScA-S116-03,1174.3499
88874,FrScA-S116-03,700.9668
88886,FrScA-S116-03,1598.3499
89165,FrScA-S116-03,2571.5334
89168,FrScA-S116-03,60.65
89376,FrScA-S116-03,3780.5335
89388,FrScA-S116-03,2999.8498
90097,FrScA-S116-03,1145.5167
90370,FrScA-S116-03,3890
90589,FrScA-S116-03,123.1833
88075,FrScA-S116-04,4323.8332
91477,FrScA-S116-04,1192.1837
77980,FrScA-S216-02,3031.3165
88048,FrScA-S216-02,2269.133
85287,FrScA-S216-01,156.5829
85796,FrScA-S216-01,1024.7833
86229,FrScA-S216-01,1210.0499
86251,FrScA-S216-01,1374.95
86836,FrScA-S216-01,1422.7335
88845,FrScA-S216-01,1075.6163
89374,FrScA-S216-01,2517.95
89465,FrScA-S216-01,24.65
90636,FrScA-S216-01,849.6835
92124,FrScA-S216-01,918.1832
94156,FrScA-S216-01,2598.5669
94172,FrScA-S216-01,1835.5833
94288,FrScA-S216-01,3058.6498
94331,FrScA-S216-01,524.7165
94400,FrScA-S216-01,2111.7837
94419,FrScA-S216-01,1095.1999
94586,FrScA-S216-01,791.0503
94661,FrScA-S216-01,1705.1165
94869,FrScA-S216-01,955.3
95005,FrScA-S216-01,2182.8836
95633,FrScA-S216-01,981.7835
95726,FrScA-S216-01,1823.8667
95989,FrScA-S216-01,873.6171
62157,FrScA-S116-02,2497.1666
85567,FrScA-S116-02,2544.3666
85698,FrScA-S116-02,1070.2167
86627,FrScA-S116-02,2193.117
77976,FrScA-S116-03,2448.4838
85573,FrScA-S116-03,1978.0169
85574,FrScA-S116-03,1871.1168
85700,FrScA-S116-03,787.2831
86618,FrScA-S116-03,2393.4669
86882,FrScA-S116-03,1294.8334
89144,FrScA-S116-03,2582.4167
90098,FrScA-S116-03,1692.6164
90274,FrScA-S116-03,1517.5835
90372,FrScA-S116-03,1378.984
90855,FrScA-S116-03,1103.0832
90878,FrScA-S116-03,1178.0834
92604,FrScA-S116-03,811.4334
90996,FrScA-S116-04,58.1833
91176,FrScA-S116-04,3868.5332
91326,FrScA-S116-04,792.6166
43146,FrScA-S216-02,1555.1667
77067,FrScA-S216-02,40.4334
77141,FrScA-S216-02,3020.7167
